PId,Pname,PCategory,QtySold,Price,Amount,Country
JA-1,Perfume2,Perfumes,4.0,670.152,2680.608,Japan
JA-2,Perfume1,Perfumes,3.0,1093.6240000000003,3280.8720000000008,Japan
JA-3,Jeans1,Jeans,1.0,543.7152,543.7152,Japan
JA-4,Jeans5,Jeans,3.0,629.5520000000001,1888.6560000000004,Japan
JA-5,Phone5,Smart Phone,2.0,765.0608000000001,1530.1216000000002,Japan
JA-6,Perfume5,Perfumes,9.0,601.3840000000001,5412.456000000001,Japan
JA-8,Phone4,Smart Phone,2.0,774.0768,1548.1536,Japan
JA-9,Tshirt1,Tshirts,3.0,501.228,1503.684,Japan
JA-10,Bottle5,Water bottles,6.0,703.7912,4222.7472,Japan
JA-11,Shoes4,Shoes,7.0,522.7488000000001,3659.2416000000003,Japan
JA-12,Bottle6,Water bottles,9.0,922.2472,8300.2248,Japan
JA-13,Phone2,Smart Phone,8.0,715.2488000000001,5721.990400000001,Japan
JA-14,Shoes4,Shoes,5.0,699.5520000000001,3497.7600000000007,Japan
JA-15,Phone1,Smart Phone,2.0,518.9296,1037.8592,Japan
JA-16,Bottle3,Water bottles,9.0,497.5656,4478.0904,Japan
JA-17,Perfume3,Perfumes,7.0,686.2464000000001,4803.724800000001,Japan
JA-18,Phone6,Smart Phone,5.0,844.8552000000001,4224.276000000001,Japan
JA-19,Perfume5,Perfumes,8.0,603.12,4824.96,Japan
JA-20,Perfume3,Perfumes,5.0,827.9488000000001,4139.744000000001,Japan
JA-21,Perfume5,Perfumes,9.0,475.88800000000003,4282.992,Japan
JA-24,Phone1,Smart Phone,1.0,517.9832,517.9832,Japan
JA-25,Phone4,Smart Phone,3.0,696.8248,2090.4744,Japan
JA-26,Perfume5,Perfumes,1.0,558.9976,558.9976,Japan
JA-27,Tshirt6,Tshirts,8.0,884.3968000000001,7075.174400000001,Japan
JA-28,Phone4,Smart Phone,9.0,532.1568000000001,4789.4112000000005,Japan
JA-29,Shoes6,Shoes,8.0,797.6304,6381.0432,Japan
JA-30,Jeans4,Jeans,1.0,463.9544,463.9544,Japan
JA-32,Bottle4,Water bottles,7.0,801.2704,5608.8928,Japan
JA-33,Perfume6,Perfumes,2.0,714.1848,1428.3696,Japan
JA-34,Phone1,Smart Phone,2.0,1013.0288000000002,2026.0576000000003,Japan
JA-35,Perfume4,Perfumes,7.0,645.0640000000001,4515.448,Japan
JA-36,Shoes2,Shoes,10.0,754.6896000000002,7546.896000000002,Japan
JA-37,Shoes1,Shoes,2.0,615.3784000000002,1230.7568000000003,Japan
JA-38,Perfume1,Perfumes,5.0,938.2856,4691.428,Japan
JA-39,Jeans1,Jeans,2.0,799.9936,1599.9872,Japan
JA-40,Shoes3,Shoes,3.0,610.8480000000001,1832.5440000000003,Japan
JA-41,Jeans2,Jeans,2.0,572.8520000000001,1145.7040000000002,Japan
JA-42,Phone4,Smart Phone,10.0,747.488,7474.880000000001,Japan
JA-43,Perfume6,Perfumes,10.0,666.7192,6667.192,Japan
JA-44,Shoes2,Shoes,8.0,743.1928000000001,5945.542400000001,Japan
JA-45,Shoes5,Shoes,9.0,506.68800000000005,4560.192,Japan
JA-46,Tshirt1,Tshirts,5.0,508.32320000000004,2541.616,Japan
JA-47,Tshirt5,Tshirts,7.0,756.3696000000001,5294.587200000001,Japan
JA-48,Bottle1,Water bottles,10.0,877.9064000000001,8779.064,Japan
JA-49,Phone5,Smart Phone,1.0,748.5352000000001,748.5352000000001,Japan
JA-50,Shoes6,Shoes,3.0,484.1704000000001,1452.5112000000004,Japan
JA-51,Phone5,Smart Phone,3.0,692.8656000000001,2078.5968000000003,Japan
JA-52,Phone4,Smart Phone,10.0,492.67120000000006,4926.712,Japan
JA-53,Shoes1,Shoes,9.0,894.9640000000002,8054.676000000001,Japan
JA-54,Bottle6,Water bottles,10.0,1020.2080000000001,10202.080000000002,Japan
JA-55,Perfume6,Perfumes,6.0,658.3752000000001,3950.2512000000006,Japan
JA-56,Bottle4,Water bottles,2.0,657.9608000000001,1315.9216000000001,Japan
JA-57,Shoes2,Shoes,9.0,519.0752,4671.6768,Japan
JA-59,Shoes4,Shoes,3.0,558.5888000000001,1675.7664000000004,Japan
JA-60,Tshirt5,Tshirts,9.0,483.26880000000006,4349.4192,Japan
JA-61,Perfume2,Perfumes,3.0,563.2760000000001,1689.8280000000002,Japan
